Temperature,activation,batch_size,epochs,input_dim,loss,lr,s,w1,w2,w3,wht,Free_eng_score,eng_score,ent_score,mae_feng
1200,leaky_relu,32,300,20,mse,0.001,4,4,2,50,0.9,0.8582937514608917,0.9423002936203186,0.8922394626437362,1706.0338222827145
1200,leaky_relu,32,300,20,mse,0.001,4,4,2,100,0.9,0.8732843608158414,0.7654445881021574,0.8861742509144088,1556.8739170088063
1200,leaky_relu,32,300,20,mse,0.001,4,4,3,1,0.9,0.8439579624727815,0.9655813565711101,0.8884356542249042,1874.89939349877
1200,leaky_relu,32,300,20,mse,0.001,4,4,3,10,0.9,0.8505180659826029,0.9638314256495668,0.890552522557938,1815.5096349333592
1200,leaky_relu,32,300,20,mse,0.001,4,4,3,50,0.9,0.8585714662490549,0.9399328235482209,0.8921188651274159,1703.5956116413226
1200,leaky_relu,32,300,20,mse,0.001,4,4,3,100,0.9,0.8732480003087626,0.766841027913667,0.8863479176554301,1556.4383125017728
1200,leaky_relu,32,300,20,mse,0.001,4,4,4,1,0.9,0.8436405705643916,0.9655836225649174,0.8882709272391145,1877.6273999440205
1200,leaky_relu,32,300,20,mse,0.001,4,4,4,10,0.9,0.8501888807082689,0.963879867929162,0.8903961533948062,1819.3650348361602
1200,leaky_relu,32,300,20,mse,0.001,4,4,4,50,0.9,0.858282052325056,0.9419938543642634,0.8922243845487186,1706.0766818378559
1200,leaky_relu,32,300,20,mse,0.001,4,4,4,100,0.9,0.8732631557371164,0.7661904606626494,0.8864606927478162,1555.247027691476
1200,leaky_relu,32,300,20,mse,0.1,4,2,2,1,0.9,0.8470866844313738,0.9649159226422891,0.901447849833661,1695.8644303805463
1200,leaky_relu,32,300,20,mse,0.1,4,2,2,10,0.9,0.8810805493828231,0.9646919140519173,0.9158146726664734,1407.742580155424
1200,leaky_relu,32,300,20,mse,0.1,4,2,2,50,0.9,0.856259765847248,0.9521809863364852,0.9084913344097855,1821.396198939479
1200,leaky_relu,32,300,20,mse,0.1,4,2,2,100,0.9,0.8531223503174987,0.9108630636962844,0.8813813636494267,1760.9932978604402
1200,leaky_relu,32,300,20,mse,0.1,4,2,3,1,0.9,0.8319756892934937,0.9682381405451261,0.8850944483979627,1896.2740715459558
1200,leaky_relu,32,300,20,mse,0.1,4,2,3,10,0.9,0.8637784210377566,0.964115798288218,0.9122733746350424,1610.419978918454
1200,leaky_relu,32,300,20,mse,0.1,4,2,3,50,0.9,0.8436319402464397,0.9573162153302154,0.8961744272648718,1753.9055554784877
1200,leaky_relu,32,300,20,mse,0.1,4,2,3,100,0.9,0.8363780055745058,0.8861559322289554,0.8828831907298347,1957.5213878367088
1200,leaky_relu,32,300,20,mse,0.1,4,2,4,1,0.9,0.8661064944323461,0.9568533869048615,0.9095227223284481,1524.478246138148
1200,leaky_relu,32,300,20,mse,0.1,4,2,4,10,0.9,0.8416084955526624,0.9654188105476575,0.8970440330977322,1878.612097596693
1200,leaky_relu,32,300,20,mse,0.1,4,2,4,50,0.9,0.8491987663207624,0.961709253744375,0.8977144115418485,1724.2311483844064
1200,leaky_relu,32,300,20,mse,0.1,4,2,4,100,0.9,0.8374499219837305,0.9152489082298775,0.8780843326846266,1904.8117132508162
1200,leaky_relu,32,300,20,mse,0.1,4,3,2,1,0.9,0.8445122253001953,0.9708118490786203,0.8989708666216403,1735.0040460121036
1200,leaky_relu,32,300,20,mse,0.1,4,3,2,10,0.9,0.7720200532754877,0.9710980352745854,0.8530018593063652,2531.1487859148615
